UNIPROT_ID,roc_auc,pr_auc,pauc10,ef1,ef5,nef1,nef5,bedroc,r_precision,recall10,hit1,hit5,hit10,n_actives,n_total,active_ratio
O00141,0.01098901098901095,0.01098901098901099,0.47368421052631576,0.0,0.0,0.0,0.0,6.220497794094276e-10,0.0,0.0,0.0,0.0,0.0,1,92,0.010869565217391304
O00238,0.1428571428571429,0.012658227848101266,0.47368421052631576,0.0,0.0,0.0,0.0,4.067738913601334e-08,0.0,0.0,0.0,0.0,0.0,1,92,0.010869565217391304
O00311,0.5604395604395604,0.024390243902439025,0.47368421052631576,0.0,0.0,0.0,0.0,0.00016730911270620427,0.0,0.0,0.0,0.0,0.0,1,92,0.010869565217391304
O00418,,,,,,,,,,,,,,0,92,0.0
O00444,0.6454545454545454,0.40549710995722277,0.5821371610845295,6.133333333333333,3.6799999999999997,1.0,0.6,0.5426099783503971,0.3333333333333333,0.2,1.0,1.0,1.0,15,92,0.16304347826086957
O00506,0.3992248062015504,0.08194157655139529,0.5104039167686658,0.0,0.0,0.0,0.0,0.09322111989001064,0.16666666666666666,0.16666666666666666,0.0,0.0,1.0,6,92,0.06521739130434782
O14578,0.84375,0.21190476190476193,0.632177033492823,0.0,4.6000000000000005,0.0,0.25,0.29427035195467993,0.25,0.5,0.0,1.0,1.0,4,92,0.043478260869565216
O14733,0.7130681818181819,0.09415584415584416,0.48564593301435405,0.0,0.0,0.0,0.0,0.06282261989792451,0.0,0.25,0.0,0.0,1.0,4,92,0.043478260869565216
O14757,0.707563025210084,0.19148210598823384,0.5356037151702786,0.0,2.6285714285714286,0.0,0.2,0.21099651931106345,0.14285714285714285,0.2857142857142857,0.0,1.0,1.0,7,92,0.07608695652173914
O14920,,,,,,,,,,,,,,0,92,0.0
O14965,0.5606975184439973,0.38882587816787123,0.5492251756150941,4.380952380952381,2.6285714285714286,1.0,0.6,0.5344306990785729,0.3333333333333333,0.14285714285714285,1.0,1.0,1.0,21,92,0.22826086956521738
O15075,0.8022988505747127,0.19832964764853311,0.5874168179068361,0.0,3.68,0.0,0.19999999999999998,0.2441980773380303,0.2,0.4,0.0,1.0,1.0,5,92,0.05434782608695652
O15111,1.0,1.0,1.0,92.0,18.400000000000002,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1,92,0.010869565217391304
O15146,0.5227272727272727,0.410607388309184,0.5564961354435038,3.5384615384615388,2.830769230769231,1.0,0.7999999999999999,0.6137990251924877,0.3076923076923077,0.15384615384615385,1.0,1.0,1.0,26,92,0.2826086956521739
O15264,,,,,,,,,,,,,,0,92,0.0
O15530,0.945054945054945,0.16666666666666666,0.7108155002891845,0.0,0.0,0.0,0.0,0.3372413183257586,0.0,1.0,0.0,0.0,1.0,1,92,0.010869565217391304
O43293,0.28739495798319326,0.05762266655295997,0.47368421052631576,0.0,0.0,0.0,0.0,0.0002409744775186868,0.0,0.0,0.0,0.0,0.0,7,92,0.07608695652173914
O43318,0.5406976744186046,0.08367780005711041,0.47368421052631576,0.0,0.0,0.0,0.0,0.019697865045304765,0.0,0.0,0.0,0.0,0.0,6,92,0.06521739130434782
O43353,0.47206959706959706,0.1439161820143185,0.47368421052631576,0.0,0.0,0.0,0.0,0.021623113746538337,0.07142857142857142,0.0,0.0,0.0,0.0,14,92,0.15217391304347827
